# file...... output/trip_node_meter_file_1.csv
# date...... Wed Feb 15 13:17:16 2023
# user...... deras
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,trip_node_meter_0:measured_real_power, trip_node_meter_1:measured_real_power, trip_node_meter_2:measured_real_power, trip_node_meter_3:measured_real_power, trip_node_meter_4:measured_real_power, trip_node_meter_5:measured_real_power, trip_node_meter_6:measured_real_power, trip_node_meter_7:measured_real_power, trip_node_meter_8:measured_real_power, trip_node_meter_9:measured_real_power, trip_node_meter_10:measured_real_power
2021-12-25 13:15:00 UTC,+0,+4481.06,+0,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-25 13:30:00 UTC,+0,+0,+0,+0,+4480.43,+0,+4480.43,+0,+0,+0,+0
2021-12-25 13:45:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4438.12,+4438.12
2021-12-25 14:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+4431.01,+0,+0,+0
2021-12-25 14:15:00 UTC,+0,+0,+0,+0,+0,+0,+4487.68,+0,+0,+0,+0
2021-12-25 14:30:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-25 14:45:00 UTC,+0,+0,+4440.98,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-25 15:00:00 UTC,+0,+0,+0,+4431.14,+0,+0,+0,+4431.14,+0,+4428.72,+0
2021-12-25 15:15:00 UTC,+0,+0,+0,+0,+0,+0,+0,+4433.16,+0,+4433.16,+0
2021-12-25 15:30:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4535.95,+0
2021-12-25 15:45:00 UTC,+0,+0,+0,+4487.24,+0,+0,+0,+0,+0,+0,+0
2021-12-25 16:00:00 UTC,+0,+4492.32,+0,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-25 16:15:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4491.45,+0
2021-12-25 16:30:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-25 16:45:00 UTC,+0,+0,+0,+0,+0,+0,+0,+4462.96,+0,+0,+0
2021-12-25 17:00:00 UTC,+0,+4424.54,+0,+0,+0,+0,+0,+4424.54,+0,+0,+0
2021-12-25 17:15:00 UTC,+0,+0,+0,+0,+4448.93,+0,+4448.93,+0,+0,+0,+0
2021-12-25 17:30:00 UTC,+0,+0,+0,+4486.06,+0,+0,+0,+0,+0,+0,+0
2021-12-25 17:45:00 UTC,+0,+0,+0,+0,+0,+0,+4408.04,+0,+0,+4403.25,+4403.25
2021-12-25 18:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4461.36
2021-12-25 18:15:00 UTC,+0,+0,+4497.52,+0,+0,+0,+0,+4497.52,+0,+0,+4499.97
2021-12-25 18:30:00 UTC,+0,+0,+4463.27,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-25 18:45:00 UTC,+0,+0,+0,+0,+0,+0,+0,+4450.82,+0,+4450.82,+0
2021-12-25 19:00:00 UTC,+0,+4482.21,+0,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-25 19:15:00 UTC,+0,+4433.77,+0,+0,+0,+0,+4433.77,+0,+0,+4433.77,+0
2021-12-25 19:30:00 UTC,+0,+4508.84,+0,+0,+0,+0,+0,+4508.84,+0,+0,+0
2021-12-25 19:45:00 UTC,+4402.53,+0,+4402.53,+0,+0,+0,+0,+4402.53,+0,+4404.93,+0
2021-12-25 20:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-25 20:15:00 UTC,+0,+0,+0,+0,+4468.03,+0,+0,+4468.03,+0,+0,+0
2021-12-25 20:30:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-25 20:45:00 UTC,+0,+4466.97,+0,+0,+0,+0,+4466.97,+0,+0,+0,+4469.41
2021-12-25 21:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-25 21:15:00 UTC,+0,+0,+0,+0,+4487.03,+0,+0,+0,+0,+0,+0
2021-12-25 21:30:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4442.11,+4442.11
2021-12-25 21:45:00 UTC,+0,+4490.47,+0,+0,+0,+0,+0,+0,+0,+0,+4488.02
2021-12-25 22:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+4414.66,+0,+0,+4414.66
2021-12-25 22:15:00 UTC,+0,+0,+0,+0,+0,+4497.63,+0,+0,+0,+0,+0
2021-12-25 22:30:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4441.27,+0
2021-12-25 22:45:00 UTC,+0,+0,+0,+0,+0,+0,+4435.86,+0,+0,+0,+0
2021-12-25 23:00:00 UTC,+0,+4455.55,+0,+0,+0,+0,+0,+0,+0,+0,+4455.55
2021-12-25 23:15:00 UTC,+4428.91,+0,+0,+0,+0,+0,+0,+4428.91,+0,+4428.91,+0
2021-12-25 23:30:00 UTC,+4475.02,+4475.02,+0,+0,+0,+0,+0,+0,+0,+0,+4477.46
2021-12-25 23:45:00 UTC,+0,+0,+0,+0,+0,+0,+4481.71,+0,+0,+0,+0
2021-12-26 00:00:00 UTC,+0,+4396.7,+0,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-26 00:15:00 UTC,+0,+0,+0,+0,+0,+0,+4398.4,+4398.4,+0,+0,+0
2021-12-26 00:30:00 UTC,+0,+0,+0,+0,+4454.38,+0,+0,+0,+0,+0,+0
2021-12-26 00:45:00 UTC,+0,+0,+0,+0,+0,+0,+4457.75,+0,+0,+0,+0
2021-12-26 01:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-26 01:15:00 UTC,+4482.45,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-26 01:30:00 UTC,+0,+4442.45,+0,+0,+4442.45,+0,+0,+4442.45,+0,+0,+0
2021-12-26 01:45:00 UTC,+0,+0,+0,+0,+0,+0,+0,+4424.87,+0,+4420.05,+0
2021-12-26 02:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+4457.14,+0,+4457.14,+0
2021-12-26 02:15:00 UTC,+0,+4447.13,+0,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-26 02:30:00 UTC,+0,+0,+0,+0,+0,+0,+0,+4470.8,+4470.8,+0,+0
2021-12-26 02:45:00 UTC,+0,+0,+0,+0,+0,+0,+0,+4462.51,+0,+0,+0
2021-12-26 03:00:00 UTC,+0,+0,+4483.23,+0,+0,+0,+0,+4483.23,+0,+0,+0
2021-12-26 03:15:00 UTC,+0,+0,+0,+0,+0,+0,+0,+4471.57,+0,+0,+0
2021-12-26 03:30:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-26 03:45:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-26 04:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-26 04:15:00 UTC,+0,+0,+0,+0,+4444.7,+0,+4444.7,+0,+0,+0,+0
2021-12-26 04:30:00 UTC,+0,+4493.17,+0,+0,+4493.17,+0,+0,+0,+0,+0,+0
2021-12-26 04:45:00 UTC,+0,+4449.26,+0,+0,+4449.26,+0,+0,+0,+0,+0,+0
2021-12-26 05:00:00 UTC,+0,+4470.7,+0,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-26 05:15:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-26 05:30:00 UTC,+0,+0,+0,+4512.58,+0,+0,+0,+0,+0,+0,+0
2021-12-26 05:45:00 UTC,+4402.66,+0,+0,+4402.66,+4402.66,+0,+0,+0,+0,+0,+0
2021-12-26 06:00:00 UTC,+4427.29,+0,+0,+0,+0,+0,+0,+4427.29,+0,+0,+0
2021-12-26 06:15:00 UTC,+0,+0,+0,+0,+0,+4465.17,+0,+4465.17,+0,+0,+0
2021-12-26 06:30:00 UTC,+0,+0,+0,+0,+0,+0,+0,+4470.74,+0,+0,+0
2021-12-26 06:45:00 UTC,+0,+0,+0,+4446.47,+4446.47,+0,+0,+0,+4446.47,+0,+0
2021-12-26 07:00:00 UTC,+0,+4456.97,+0,+4456.97,+0,+0,+0,+0,+0,+0,+0
2021-12-26 07:15:00 UTC,+0,+0,+4393.84,+0,+4393.84,+0,+4393.84,+0,+0,+0,+0
2021-12-26 07:30:00 UTC,+0,+0,+4447.51,+0,+4447.51,+0,+0,+4447.51,+0,+0,+0
2021-12-26 07:45:00 UTC,+0,+0,+0,+0,+4441.91,+0,+4441.91,+0,+0,+0,+0
2021-12-26 08:00:00 UTC,+0,+0,+0,+4471.08,+0,+0,+4471.08,+0,+0,+4471.08,+0
2021-12-26 08:15:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-26 08:30:00 UTC,+4436.43,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-26 08:45:00 UTC,+4449.75,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4447.33
2021-12-26 09:00:00 UTC,+0,+4482.24,+0,+4482.24,+0,+0,+0,+0,+0,+0,+0
2021-12-26 09:15:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4482.6
2021-12-26 09:30:00 UTC,+0,+0,+0,+0,+0,+0,+4455.52,+0,+0,+0,+0
2021-12-26 09:45:00 UTC,+4435.21,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-26 10:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4480.27
2021-12-26 10:15:00 UTC,+0,+0,+4436.14,+4436.14,+4436.14,+0,+0,+0,+0,+0,+0
2021-12-26 10:30:00 UTC,+0,+0,+0,+0,+0,+0,+0,+4499.08,+0,+0,+0
2021-12-26 10:45:00 UTC,+0,+0,+0,+0,+0,+0,+4444.14,+4444.14,+0,+0,+4444.14
2021-12-26 11:00:00 UTC,+0,+0,+0,+0,+0,+0,+4458.57,+4458.57,+0,+0,+4456.14
2021-12-26 11:15:00 UTC,+0,+0,+0,+0,+0,+0,+4510.54,+0,+0,+0,+0
2021-12-26 11:30:00 UTC,+0,+0,+0,+0,+4419.7,+0,+0,+0,+0,+4414.89,+0
2021-12-26 11:45:00 UTC,+0,+0,+4472.69,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-26 12:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+4434.33,+0,+0,+0
2021-12-26 12:15:00 UTC,+0,+0,+0,+0,+0,+0,+4474.3,+4474.3,+0,+0,+0
2021-12-26 12:30:00 UTC,+4393.99,+0,+4393.99,+0,+0,+0,+4393.99,+0,+0,+4398.78,+0
2021-12-26 12:45:00 UTC,+0,+4441.3,+0,+4441.3,+0,+0,+4441.3,+0,+0,+0,+0
