timestamp,timestamp,duration(sec),fixture,demand(gpm),duration(min)
2007-10-12 06:02:54,2007-10-12 06:02:54,84,DW1,1.682,1.4
2007-10-12 06:12:42,2007-10-12 06:12:42,78,DW1,1.042,1.3
2007-10-12 06:20:36,2007-10-12 06:20:36,6,Kitchen Sink,0.2528840370744924,0.1
2007-10-12 06:22:30,2007-10-12 06:22:30,84,DW1,0.9520000000000001,1.4
2007-10-12 06:32:12,2007-10-12 06:32:12,108,DW1,1.545,1.8
2007-10-12 06:42:00,2007-10-12 06:42:00,96,DW1,1.4709999999999999,1.6
2007-10-12 07:03:54,2007-10-12 07:03:54,12,Kitchen Sink,1.7443682677480754,0.2
2007-10-12 09:01:36,2007-10-12 09:01:36,24,Sink 4,0.20200346505049546,0.4
2007-10-12 10:38:48,2007-10-12 10:38:48,186,Sink 3,1.379850736829888,3.1
2007-10-12 10:50:30,2007-10-12 10:50:30,114,Kitchen Sink,0.3629987078726948,1.9
2007-10-12 10:52:24,2007-10-12 10:52:24,12,Kitchen Sink,0.2544028601199849,0.2
2007-10-12 13:30:48,2007-10-12 13:30:48,36,Sink 4,1.2188554940076888,0.6
2007-10-12 13:33:12,2007-10-12 13:33:12,18,Kitchen Sink,1.1945543252798094,0.3
2007-10-12 14:29:06,2007-10-12 14:29:06,84,CW,2.35,1.4
2007-10-12 14:46:54,2007-10-12 14:46:54,30,Kitchen Sink,0.9933102717520604,0.5
2007-10-12 14:48:48,2007-10-12 14:48:48,36,Kitchen Sink,1.0905149466635768,0.6
2007-10-12 17:28:42,2007-10-12 17:28:42,6,Kitchen Sink,0.21263522636894255,0.1
2007-10-12 18:23:42,2007-10-12 18:23:42,6,Kitchen Sink,0.7768779877693865,0.1
2007-10-12 18:25:42,2007-10-12 18:25:42,18,Sink 3,0.09416702882053173,0.3
2007-10-12 18:27:36,2007-10-12 18:27:36,6,Sink 4,0.11391172841193352,0.1
2007-10-12 18:50:54,2007-10-12 18:50:54,12,Kitchen Sink,0.6454997943342901,0.2
2007-10-12 19:26:12,2007-10-12 19:26:12,6,Kitchen Sink,0.1131523168891873,0.1
2007-10-12 19:28:12,2007-10-12 19:28:12,24,Kitchen Sink,0.3516075350315015,0.4
2007-10-12 19:30:06,2007-10-12 19:30:06,36,Sink 3,0.03645175309181873,0.6
2007-10-12 21:34:24,2007-10-12 21:34:24,12,Sink 3,0.03721116461456495,0.2
2007-10-12 21:36:18,2007-10-12 21:36:18,12,Kitchen Sink,0.7738403416784017,0.2
2007-10-12 21:54:30,2007-10-12 21:54:30,30,Kitchen Sink,0.5513327655137582,0.5
2007-10-12 21:55:06,2007-10-12 21:55:06,36,Kitchen Sink,0.034932930046326284,0.6
2007-10-12 21:56:24,2007-10-12 21:56:24,48,Kitchen Sink,1.3289701648058911,0.8
2007-10-12 21:57:00,2007-10-12 21:57:00,42,Kitchen Sink,1.5757789096984138,0.7
2007-10-12 23:29:00,2007-10-12 23:29:00,78,Sink 4,1.047228489867042,1.3
2007-10-12 23:30:54,2007-10-12 23:30:54,42,Kitchen Sink,1.424656016671915,0.7
2007-10-12 23:45:06,2007-10-12 23:45:06,24,Sink 3,0.7609303457917159,0.4
2007-10-12 23:59:06,2007-10-12 23:59:06,30,Kitchen Sink,0.9523020495237644,0.5
