timestamp,timestamp,duration(sec),fixture,demand(gpm),duration(min)
2007-09-03 01:17:54,2007-09-03 01:17:54,96,DW1,1.696,1.6
2007-09-03 01:23:54,2007-09-03 01:23:54,78,DW1,1.146,1.3
2007-09-03 01:27:42,2007-09-03 01:27:42,84,DW1,1.351,1.4
2007-09-03 01:33:42,2007-09-03 01:33:42,120,DW1,1.354,2.0
2007-09-03 01:37:24,2007-09-03 01:37:24,60,DW1,1.62,1.0
2007-09-03 01:43:30,2007-09-03 01:43:30,126,DW1,1.402,2.1
2007-09-03 01:47:12,2007-09-03 01:47:12,60,DW1,1.149,1.0
2007-09-03 01:53:18,2007-09-03 01:53:18,72,DW1,1.097,1.2
2007-09-03 01:57:00,2007-09-03 01:57:00,54,DW1,1.51,0.9
2007-09-03 02:03:00,2007-09-03 02:03:00,60,DW1,1.6340000000000001,1.0
2007-09-03 06:31:54,2007-09-03 06:31:54,12,Kitchen Sink,1.2065530551651409,0.2
2007-09-03 06:32:48,2007-09-03 06:32:48,60,Sink 2,0.20257625095946094,1.0
2007-09-03 06:54:42,2007-09-03 06:54:42,6,Kitchen Sink,0.11204766994461028,0.1
2007-09-03 06:56:36,2007-09-03 06:56:36,18,Kitchen Sink,1.3764796539553117,0.3
2007-09-03 07:48:00,2007-09-03 07:48:00,54,Kitchen Sink,1.1850339662353817,0.9
2007-09-03 07:50:00,2007-09-03 07:50:00,54,Sink 3,0.6618974939774329,0.9
2007-09-03 07:51:54,2007-09-03 07:51:54,18,Sink 2,0.8948972844582781,0.3
2007-09-03 07:53:48,2007-09-03 07:53:48,168,Kitchen Sink,1.49149547409713,2.8
2007-09-03 07:55:48,2007-09-03 07:55:48,18,Kitchen Sink,0.4496747548770452,0.3
2007-09-03 07:57:42,2007-09-03 07:57:42,102,Kitchen Sink,1.3215688753069594,1.7
2007-09-03 08:24:30,2007-09-03 08:24:30,6,Sink 2,0.0608470790427685,0.1
2007-09-03 08:58:30,2007-09-03 08:58:30,24,CW,1.095,0.4
2007-09-03 10:43:06,2007-09-03 10:43:06,48,Sink 2,1.028464043332648,0.8
2007-09-03 11:42:06,2007-09-03 11:42:06,24,Sink 3,0.8140151915843541,0.4
2007-09-03 11:44:06,2007-09-03 11:44:06,6,Kitchen Sink,0.26490740510083355,0.1
2007-09-03 12:44:06,2007-09-03 12:44:06,66,Sink 3,1.070018146093563,1.1
2007-09-03 13:42:36,2007-09-03 13:42:36,96,Sink 4,0.6010504149346644,1.6
2007-09-03 14:12:06,2007-09-03 14:12:06,18,Sink 2,1.5078203001817754,0.3
2007-09-03 14:14:00,2007-09-03 14:14:00,12,Kitchen Sink,0.8140151915843541,0.2
2007-09-03 14:16:54,2007-09-03 14:16:54,6,Sink 3,0.9742953022335981,0.1
2007-09-03 15:02:36,2007-09-03 15:02:36,6,Kitchen Sink,0.010388525690228769,0.1
2007-09-03 15:56:42,2007-09-03 15:56:42,96,Kitchen Sink,0.8756043081764247,1.6
2007-09-03 17:03:54,2007-09-03 17:03:54,6,Kitchen Sink,0.11353174504321438,0.1
2007-09-03 17:42:42,2007-09-03 17:42:42,6,Kitchen Sink,0.09423876876136096,0.1
2007-09-03 18:24:12,2007-09-03 18:24:12,84,Kitchen Sink,1.6851672744649664,1.4
2007-09-03 18:26:06,2007-09-03 18:26:06,78,Kitchen Sink,0.6975152963439315,1.3
2007-09-03 18:39:30,2007-09-03 18:39:30,108,Kitchen Sink,0.2411622035231678,1.8
2007-09-03 19:34:36,2007-09-03 19:34:36,24,Kitchen Sink,0.4971651580323768,0.4
2007-09-03 20:30:36,2007-09-03 20:30:36,48,Kitchen Sink,0.920126561134548,0.8
2007-09-03 21:18:30,2007-09-03 21:18:30,114,Sink 3,0.05862096639486233,1.9
2007-09-03 22:54:30,2007-09-03 22:54:30,30,Kitchen Sink,0.9386774998670993,0.5
