timestamp,timestamp,duration(sec),fixture,demand(gpm),duration(min)
2007-05-13 00:30:54,2007-05-13 00:30:54,6,Kitchen Sink,0.09102286563944514,0.1
2007-05-13 00:34:48,2007-05-13 00:34:48,84,Sink 4,0.7523000946439611,1.4
2007-05-13 02:59:06,2007-05-13 02:59:06,12,Kitchen Sink,0.5438032742048902,0.2
2007-05-13 03:01:06,2007-05-13 03:01:06,24,Kitchen Sink,1.0572655931966322,0.4
2007-05-13 06:30:48,2007-05-13 06:30:48,66,Sink 3,0.038120687319083864,1.1
2007-05-13 06:32:42,2007-05-13 06:32:42,24,Kitchen Sink,1.3171086455348768,0.4
2007-05-13 06:34:42,2007-05-13 06:34:42,90,Sink 2,0.4325531050900128,1.5
2007-05-13 07:44:48,2007-05-13 07:44:48,84,CW,3.06,1.4
2007-05-13 07:46:42,2007-05-13 07:46:42,6,Sink 4,0.19449330264838705,0.1
2007-05-13 07:48:36,2007-05-13 07:48:36,6,Kitchen Sink,0.6846164253223224,0.1
2007-05-13 08:32:42,2007-05-13 08:32:42,18,Sink 2,0.2178324989661935,0.3
2007-05-13 08:45:24,2007-05-13 08:45:24,192,Shower 1,1.9597145174851482,3.2
2007-05-13 09:03:36,2007-05-13 09:03:36,6,Kitchen Sink,0.9646867811359996,0.1
2007-05-13 09:05:30,2007-05-13 09:05:30,30,Kitchen Sink,0.6573873629515482,0.5
2007-05-13 09:07:24,2007-05-13 09:07:24,36,Kitchen Sink,0.21394263291322574,0.6
2007-05-13 09:09:24,2007-05-13 09:09:24,30,Sink 4,1.4221350289650059,0.5
2007-05-13 09:11:18,2007-05-13 09:11:18,6,Sink 2,0.5889257204193161,0.1
2007-05-13 09:13:12,2007-05-13 09:13:12,6,Kitchen Sink,0.06846164253223222,0.1
2007-05-13 09:15:06,2007-05-13 09:15:06,6,Sink 4,0.04745636584620644,0.1
2007-05-13 09:17:06,2007-05-13 09:17:06,36,Kitchen Sink,0.4154376944569548,0.6
2007-05-13 09:39:48,2007-05-13 09:39:48,30,CW,1.679,0.5
2007-05-13 09:51:42,2007-05-13 09:51:42,42,Kitchen Sink,0.564808550890916,0.7
2007-05-13 10:12:24,2007-05-13 10:12:24,42,Kitchen Sink,0.9320119062910708,0.7
