timestamp,timestamp,duration(sec),fixture,demand(gpm),duration(min)
2007-08-26 00:30:36,2007-08-26 00:30:36,30,Kitchen Sink,0.8557602543690696,0.5
2007-08-26 03:28:30,2007-08-26 03:28:30,6,Sink 4,0.6573660085464825,0.1
2007-08-26 03:30:24,2007-08-26 03:30:24,24,Sink 4,0.8024603077301656,0.4
2007-08-26 04:27:54,2007-08-26 04:27:54,54,Kitchen Sink,0.8083825240233772,0.9
2007-08-26 05:30:12,2007-08-26 05:30:12,462,Shower 1,1.2866014897002105,7.7
2007-08-26 06:32:48,2007-08-26 06:32:48,6,Sink 2,0.6358979744835906,0.1
2007-08-26 06:51:36,2007-08-26 06:51:36,24,Kitchen Sink,0.2472525302415824,0.4
2007-08-26 07:45:54,2007-08-26 07:45:54,36,Kitchen Sink,0.6936395833424034,0.6
2007-08-26 07:46:36,2007-08-26 07:46:36,90,Kitchen Sink,0.2020956310058443,1.5
2007-08-26 08:05:30,2007-08-26 08:05:30,48,Kitchen Sink,1.6367525280363433,0.8
2007-08-26 08:07:24,2007-08-26 08:07:24,162,Kitchen Sink,1.301407030433239,2.7
2007-08-26 08:09:24,2007-08-26 08:09:24,6,Kitchen Sink,1.459826316276648,0.1
2007-08-26 08:35:36,2007-08-26 08:35:36,6,Sink 3,0.1821081510162553,0.1
2007-08-26 09:52:00,2007-08-26 09:52:00,78,Kitchen Sink,1.2029501845585968,1.3
2007-08-26 09:53:12,2007-08-26 09:53:12,6,Sink 2,0.0318319125760121,0.1
2007-08-26 09:53:54,2007-08-26 09:53:54,24,Kitchen Sink,1.6419344672929037,0.4
2007-08-26 09:55:06,2007-08-26 09:55:06,6,Sink 3,0.3686579642524193,0.1
2007-08-26 09:57:00,2007-08-26 09:57:00,6,Sink 4,0.3590343627759505,0.1
2007-08-26 09:59:00,2007-08-26 09:59:00,12,Kitchen Sink,0.5729744263682179,0.2
2007-08-26 09:59:36,2007-08-26 09:59:36,144,CW,1.7209999999999999,2.4
2007-08-26 12:33:00,2007-08-26 12:33:00,150,Sink 2,0.6433007448501051,2.5
2007-08-26 12:41:18,2007-08-26 12:41:18,48,Kitchen Sink,1.3702527948418233,0.8
2007-08-26 12:44:18,2007-08-26 12:44:18,18,Kitchen Sink,0.603325784870927,0.3
2007-08-26 12:46:12,2007-08-26 12:46:12,12,Sink 3,0.045897176272389546,0.2
2007-08-26 13:05:48,2007-08-26 13:05:48,78,Sink 2,1.3539667000354916,1.3
2007-08-26 13:07:48,2007-08-26 13:07:48,24,Kitchen Sink,0.6692104411329056,0.4
2007-08-26 13:38:24,2007-08-26 13:38:24,90,Kitchen Sink,0.03701385183257221,1.5
2007-08-26 13:40:24,2007-08-26 13:40:24,12,Kitchen Sink,0.8779685654686129,0.2
2007-08-26 13:42:18,2007-08-26 13:42:18,12,Sink 4,1.2636529015640154,0.2
2007-08-26 13:44:12,2007-08-26 13:44:12,6,Kitchen Sink,1.304368138579845,0.1
2007-08-26 13:59:30,2007-08-26 13:59:30,6,Sink 2,0.3064746931736979,0.1
2007-08-26 15:09:24,2007-08-26 15:09:24,84,CW,2.343,1.4
2007-08-26 15:14:24,2007-08-26 15:14:24,12,CW,3.34,0.2
2007-08-26 15:19:18,2007-08-26 15:19:18,6,CW,2.45,0.1
2007-08-26 15:22:54,2007-08-26 15:22:54,18,Kitchen Sink,0.8224477877197546,0.3
2007-08-26 15:23:00,2007-08-26 15:23:00,6,Kitchen Sink,0.3538524235193903,0.1
2007-08-26 15:24:54,2007-08-26 15:24:54,12,Kitchen Sink,1.1067141697939094,0.2
2007-08-26 15:24:54,2007-08-26 15:24:54,18,Sink 4,0.41603569459811174,0.3
2007-08-26 15:26:48,2007-08-26 15:26:48,12,Kitchen Sink,0.040715237015829436,0.2
2007-08-26 15:26:54,2007-08-26 15:26:54,24,Sink 2,0.458231485687244,0.4
2007-08-26 15:28:42,2007-08-26 15:28:42,12,Sink 3,0.11918460290088255,0.2
2007-08-26 15:28:48,2007-08-26 15:28:48,18,Kitchen Sink,0.6544049003998768,0.3
2007-08-26 15:30:42,2007-08-26 15:30:42,96,Kitchen Sink,0.9120213091545794,1.6
2007-08-26 15:32:42,2007-08-26 15:32:42,6,Sink 4,0.04145551405248088,0.1
2007-08-26 16:17:06,2007-08-26 16:17:06,60,Kitchen Sink,0.6159104944940016,1.0
2007-08-26 16:19:06,2007-08-26 16:19:06,12,Kitchen Sink,0.7624853477509876,0.2
2007-08-26 16:21:00,2007-08-26 16:21:00,48,Kitchen Sink,1.262912624527364,0.8
2007-08-26 16:23:42,2007-08-26 16:23:42,6,CW,2.065,0.1
2007-08-26 16:28:36,2007-08-26 16:28:36,18,CW,2.1959999999999997,0.3
2007-08-26 16:33:36,2007-08-26 16:33:36,78,CW,2.345,1.3
2007-08-26 16:49:48,2007-08-26 16:49:48,72,CW,1.193,1.2
2007-08-26 17:01:18,2007-08-26 17:01:18,6,Sink 3,1.7426121442775,0.1
2007-08-26 17:03:18,2007-08-26 17:03:18,6,Kitchen Sink,0.964580978756832,0.1
2007-08-26 17:35:54,2007-08-26 17:35:54,18,Kitchen Sink,0.8513185921491608,0.3
2007-08-26 17:37:54,2007-08-26 17:37:54,84,CW,0.7829999999999999,1.4
2007-08-26 17:42:54,2007-08-26 17:42:54,84,CW,1.651,1.4
2007-08-26 17:47:54,2007-08-26 17:47:54,108,CW,2.119,1.8
2007-08-26 18:04:06,2007-08-26 18:04:06,60,CW,2.333,1.0
2007-08-26 18:06:18,2007-08-26 18:06:18,12,Kitchen Sink,1.267354286747273,0.2
2007-08-26 18:15:06,2007-08-26 18:15:06,66,Kitchen Sink,1.2125737860350656,1.1
2007-08-26 18:17:00,2007-08-26 18:17:00,6,Kitchen Sink,2.345937929148427,0.1
2007-08-26 18:26:12,2007-08-26 18:26:12,126,CW,2.6630000000000003,2.1
2007-08-26 18:52:12,2007-08-26 18:52:12,18,CW,2.214,0.3
2007-08-26 18:57:12,2007-08-26 18:57:12,6,CW,3.033,0.1
2007-08-26 19:02:06,2007-08-26 19:02:06,84,CW,2.396,1.4
2007-08-26 19:05:48,2007-08-26 19:05:48,72,Sink 2,1.1378058053332698,1.2
2007-08-26 19:58:36,2007-08-26 19:58:36,42,DW1,0.8490000000000001,0.7
2007-08-26 20:08:18,2007-08-26 20:08:18,90,DW1,1.4809999999999999,1.5
2007-08-26 20:13:12,2007-08-26 20:13:12,42,Kitchen Sink,0.2428108680216737,0.7
2007-08-26 20:15:06,2007-08-26 20:15:06,126,Sink 3,0.7336145433215813,2.1
2007-08-26 20:18:06,2007-08-26 20:18:06,84,DW1,1.358,1.4
2007-08-26 20:27:54,2007-08-26 20:27:54,48,DW1,1.314,0.8
2007-08-26 20:52:30,2007-08-26 20:52:30,48,Kitchen Sink,0.5078300471428908,0.8
2007-08-26 21:32:42,2007-08-26 21:32:42,6,Sink 2,0.19321230656602695,0.1
2007-08-26 21:34:36,2007-08-26 21:34:36,114,Kitchen Sink,0.7528617462745187,1.9
2007-08-26 21:36:36,2007-08-26 21:36:36,48,Kitchen Sink,0.5078300471428908,0.8
2007-08-26 21:38:30,2007-08-26 21:38:30,66,Kitchen Sink,1.0889475209142747,1.1
2007-08-26 23:53:42,2007-08-26 23:53:42,48,Sink 3,0.8653838558455385,0.8
