timestamp,timestamp,duration(sec),fixture,demand(gpm),duration(min)
2007-12-18 04:48:36,2007-12-18 04:48:36,18,Kitchen Sink,1.1924797514645775,0.3
2007-12-18 05:38:36,2007-12-18 05:38:36,48,Kitchen Sink,0.06518889308006359,0.8
2007-12-18 06:41:12,2007-12-18 06:41:12,690,Shower 2,2.3309004208627613,11.5
2007-12-18 07:05:48,2007-12-18 07:05:48,54,Kitchen Sink,0.5723902807029974,0.9
2007-12-18 08:26:42,2007-12-18 08:26:42,48,Kitchen Sink,0.5843150782176432,0.8
2007-12-18 08:29:06,2007-12-18 08:29:06,90,Kitchen Sink,0.3346893169110582,1.5
2007-12-18 08:31:06,2007-12-18 08:31:06,12,Sink 2,0.7464923244168257,0.2
2007-12-18 08:33:00,2007-12-18 08:33:00,54,Sink 3,0.3768236014628066,0.9
2007-12-18 08:34:54,2007-12-18 08:34:54,6,Kitchen Sink,0.418957886014555,0.1
2007-12-18 09:28:42,2007-12-18 09:28:42,60,Kitchen Sink,0.4571172380614214,1.0
2007-12-18 09:42:30,2007-12-18 09:42:30,6,Sink 2,0.13276274566305635,0.1
2007-12-18 09:44:30,2007-12-18 09:44:30,12,Kitchen Sink,1.9723615089224116,0.2
2007-12-18 09:46:24,2007-12-18 09:46:24,6,Sink 2,1.2680034690573343,0.1
2007-12-18 09:48:18,2007-12-18 09:48:18,54,Kitchen Sink,0.4110080210047912,0.9
2007-12-18 09:57:48,2007-12-18 09:57:48,12,Kitchen Sink,0.6876633233445733,0.2
2007-12-18 11:00:54,2007-12-18 11:00:54,48,Sink 3,0.6002148082371709,0.8
2007-12-18 11:32:30,2007-12-18 11:32:30,12,Sink 3,1.9707715359204592,0.2
2007-12-18 11:42:06,2007-12-18 11:42:06,30,Kitchen Sink,1.7076310040972755,0.5
2007-12-18 15:22:48,2007-12-18 15:22:48,48,Sink 2,1.1105961418640102,0.8
2007-12-18 15:25:06,2007-12-18 15:25:06,30,Kitchen Sink,1.2846981855778383,0.5
2007-12-18 16:49:12,2007-12-18 16:49:12,6,Kitchen Sink,0.7608020814344006,0.1
2007-12-18 17:02:36,2007-12-18 17:02:36,120,DW1,1.161,2.0
2007-12-18 17:12:24,2007-12-18 17:12:24,60,DW1,1.3219999999999998,1.0
2007-12-18 17:20:18,2007-12-18 17:20:18,30,Kitchen Sink,0.39669826398721625,0.5
2007-12-18 17:22:12,2007-12-18 17:22:12,48,DW1,0.934,0.8
2007-12-18 17:29:42,2007-12-18 17:29:42,6,Sink 3,0.3434341684217984,0.1
2007-12-18 17:31:36,2007-12-18 17:31:36,168,Kitchen Sink,1.461185188794596,2.8
2007-12-18 17:32:00,2007-12-18 17:32:00,96,DW1,1.4869999999999999,1.6
2007-12-18 18:06:12,2007-12-18 18:06:12,6,Kitchen Sink,0.7417224054109675,0.1
2007-12-18 18:08:06,2007-12-18 18:08:06,18,Kitchen Sink,1.3920213632096503,0.3
2007-12-18 18:11:24,2007-12-18 18:11:24,42,Kitchen Sink,1.832443884750568,0.7
2007-12-18 18:25:24,2007-12-18 18:25:24,12,Kitchen Sink,0.540590820663942,0.2
2007-12-18 18:36:00,2007-12-18 18:36:00,78,Kitchen Sink,0.04133929805077203,1.3
2007-12-18 18:41:30,2007-12-18 18:41:30,60,Sink 4,1.7346605451304726,1.0
2007-12-18 18:58:24,2007-12-18 18:58:24,114,Kitchen Sink,0.6423490927889193,1.9
2007-12-18 19:00:24,2007-12-18 19:00:24,36,Sink 3,1.147165520908924,0.6
2007-12-18 19:02:18,2007-12-18 19:02:18,12,Sink 4,0.5445657531688239,0.2
2007-12-18 19:45:42,2007-12-18 19:45:42,36,Sink 2,1.4246158097496824,0.6
2007-12-18 20:09:48,2007-12-18 20:09:48,168,Kitchen Sink,1.0366623972732063,2.8
2007-12-18 21:26:12,2007-12-18 21:26:12,6,Kitchen Sink,0.1343527186650091,0.1
2007-12-18 21:28:06,2007-12-18 21:28:06,36,Sink 2,1.0390473567761354,0.6
2007-12-18 21:54:18,2007-12-18 21:54:18,84,Kitchen Sink,1.0144027752458675,1.4
2007-12-18 23:43:12,2007-12-18 23:43:12,12,Sink 4,1.4524403372838557,0.2
2007-12-18 23:45:06,2007-12-18 23:45:06,60,Sink 4,0.4722219815799728,1.0
