timestamp,timestamp,duration(sec),fixture,demand(gpm),duration(min)
2007-01-02 00:30:30,2007-01-02 00:30:30,48,Kitchen Sink,0.040007890048421535,0.8
2007-01-02 00:32:30,2007-01-02 00:32:30,42,Sink 4,1.2402445915010674,0.7
2007-01-02 00:34:24,2007-01-02 00:34:24,78,Sink 2,0.9121798931040108,1.3
2007-01-02 00:36:18,2007-01-02 00:36:18,72,Kitchen Sink,0.2856563349457297,1.2
2007-01-02 03:22:48,2007-01-02 03:22:48,24,Sink 2,1.3026568999766048,0.4
2007-01-02 05:05:42,2007-01-02 05:05:42,12,Sink 3,0.5633110918817751,0.2
2007-01-02 05:48:42,2007-01-02 05:48:42,78,Sink 4,0.7697518045316302,1.3
2007-01-02 05:50:42,2007-01-02 05:50:42,90,Sink 2,1.0842138203122234,1.5
2007-01-02 05:52:36,2007-01-02 05:52:36,30,Sink 4,1.237844118098162,0.5
2007-01-02 06:54:18,2007-01-02 06:54:18,6,Kitchen Sink,0.17283408500918102,0.1
2007-01-02 06:56:18,2007-01-02 06:56:18,30,Kitchen Sink,1.2874539017582047,0.5
2007-01-02 06:58:12,2007-01-02 06:58:12,18,Kitchen Sink,1.2058378060594248,0.3
2007-01-02 07:27:18,2007-01-02 07:27:18,174,Sink 2,0.496097836600427,2.9
2007-01-02 08:05:12,2007-01-02 08:05:12,30,Sink 3,0.28645649274669815,0.5
2007-01-02 08:07:06,2007-01-02 08:07:06,12,Kitchen Sink,1.24904632731172,0.2
2007-01-02 08:09:06,2007-01-02 08:09:06,48,Kitchen Sink,0.19443834563532866,0.8
2007-01-02 08:23:30,2007-01-02 08:23:30,60,Kitchen Sink,0.7633505421238828,1.0
2007-01-02 09:31:30,2007-01-02 09:31:30,6,Kitchen Sink,0.10081988292202224,0.1
2007-01-02 10:31:12,2007-01-02 10:31:12,54,Kitchen Sink,0.13122587935882266,0.9
2007-01-02 10:33:06,2007-01-02 10:33:06,12,Kitchen Sink,0.8633702672449366,0.2
2007-01-02 10:35:06,2007-01-02 10:35:06,18,Kitchen Sink,1.0690108220938233,0.3
2007-01-02 11:01:30,2007-01-02 11:01:30,6,Kitchen Sink,0.4192826877074576,0.1
2007-01-02 11:03:30,2007-01-02 11:03:30,60,Sink 3,1.495494930009997,1.0
2007-01-02 11:05:24,2007-01-02 11:05:24,42,Sink 2,0.6777336574202607,0.7
2007-01-02 13:12:24,2007-01-02 13:12:24,24,Kitchen Sink,1.5995154441358927,0.4
2007-01-02 13:14:18,2007-01-02 13:14:18,24,Kitchen Sink,0.7841546449490621,0.4
2007-01-02 13:42:24,2007-01-02 13:42:24,6,Kitchen Sink,0.6401262407747446,0.1
2007-01-02 17:46:06,2007-01-02 17:46:06,114,Sink 4,1.3922745736850692,1.9
2007-01-02 17:55:24,2007-01-02 17:55:24,18,Kitchen Sink,0.5961175617214808,0.3
2007-01-02 17:57:24,2007-01-02 17:57:24,24,Kitchen Sink,1.1754318096226246,0.4
2007-01-02 18:48:00,2007-01-02 18:48:00,66,Kitchen Sink,0.9121798931040108,1.1
2007-01-02 18:56:42,2007-01-02 18:56:42,6,Sink 4,0.2704533367273296,0.1
2007-01-02 22:24:54,2007-01-02 22:24:54,102,Kitchen Sink,0.6681317638086395,1.7
2007-01-02 22:26:48,2007-01-02 22:26:48,24,Kitchen Sink,1.4466853041509224,0.4
2007-01-02 22:28:42,2007-01-02 22:28:42,30,Kitchen Sink,0.4280844235181104,0.5
2007-01-02 22:30:42,2007-01-02 22:30:42,18,Kitchen Sink,0.7593497531190406,0.3
2007-01-02 22:32:36,2007-01-02 22:32:36,162,Kitchen Sink,1.1538275489964769,2.7
2007-01-02 22:34:30,2007-01-02 22:34:30,24,Kitchen Sink,1.3866734690782905,0.4
