# file...... ./glm_output/Meter_652A_Power_Best.csv
# date...... Thu Mar  2 18:06:31 2023
# user...... deras
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,meter_652_A:measured_voltage_A,xfmr_meter_652_A_1:voltage_A,xfmr_meter_652_A_2:voltage_A,xfmr_meter_652_A_3:voltage_A,xfmr_meter_652_A_4:voltage_A,xfmr_meter_652_A_5:voltage_A
2021-12-25 06:45:00 UTC,+2401.78-4.31571e-07j,+2401.78-4.31603e-07j,+2401.78-4.31603e-07j,+2401.78-4.31603e-07j,+2401.78-4.31603e-07j,+2401.78-4.31603e-07j
2021-12-25 07:00:00 UTC,+2401.78-4.31571e-07j,+2401.78-4.31603e-07j,+2401.78-4.31603e-07j,+2401.78-4.31603e-07j,+2401.78-4.31603e-07j,+2401.78-4.31603e-07j
2021-12-25 07:15:00 UTC,+2401.78-4.31571e-07j,+2401.78-4.31603e-07j,+2401.78-4.31603e-07j,+2401.78-4.31603e-07j,+2401.78-4.31603e-07j,+2401.78-4.31603e-07j
2021-12-25 07:30:00 UTC,+2401.78-4.31571e-07j,+2401.78-4.31603e-07j,+2401.78-4.31603e-07j,+2401.78-4.31603e-07j,+2401.78-4.31603e-07j,+2401.78-4.31603e-07j
2021-12-25 07:45:00 UTC,+2401.78-4.31571e-07j,+2401.78-4.31603e-07j,+2401.78-4.31603e-07j,+2401.78-4.31603e-07j,+2401.78-4.31603e-07j,+2401.78-4.31603e-07j
2021-12-25 08:00:00 UTC,+2401.78-4.31571e-07j,+2401.78-4.31603e-07j,+2401.78-4.31603e-07j,+2401.78-4.31603e-07j,+2401.78-4.31603e-07j,+2401.78-4.31603e-07j
2021-12-25 08:15:00 UTC,+2401.78-4.31571e-07j,+2401.78-4.31603e-07j,+2401.78-4.31603e-07j,+2401.78-4.31603e-07j,+2401.78-4.31603e-07j,+2401.78-4.31603e-07j
2021-12-25 08:30:00 UTC,+2401.78-4.31571e-07j,+2401.78-4.31603e-07j,+2401.78-4.31603e-07j,+2401.78-4.31603e-07j,+2401.78-4.31603e-07j,+2401.78-4.31603e-07j
2021-12-25 08:45:00 UTC,+2401.78-4.31571e-07j,+2401.78-4.31603e-07j,+2401.78-4.31603e-07j,+2401.78-4.31603e-07j,+2401.78-4.31603e-07j,+2401.78-4.31603e-07j
2021-12-25 09:00:00 UTC,+2401.78-4.31571e-07j,+2401.78-4.31603e-07j,+2401.78-4.31603e-07j,+2401.78-4.31603e-07j,+2401.78-4.31603e-07j,+2401.78-4.31603e-07j
2021-12-25 09:15:00 UTC,+2401.78-4.31571e-07j,+2401.78-4.31603e-07j,+2401.78-4.31603e-07j,+2401.78-4.31603e-07j,+2401.78-4.31603e-07j,+2401.78-4.31603e-07j
2021-12-25 09:30:00 UTC,+2392.86-30.9961j,+2392.85-31.0018j,+2392.86-30.9961j,+2392.86-30.9961j,+2392.85-31.0018j,+2392.84-31.0131j
